DATAFLOW,FREQ,ETA,ITTER107,SESSO,STACIVX,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.5),A,TOTAL,001001,9,99,JAN,2019,2634,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001001,9,99,JAN,2020,2621,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001001,9,99,JAN,2021,2545,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001002,9,99,JAN,2019,3613,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001002,9,99,JAN,2020,3598,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001002,9,99,JAN,2021,3633,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001003,9,99,JAN,2019,442,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001003,9,99,JAN,2020,441,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001003,9,99,JAN,2021,459,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001004,9,99,JAN,2019,1642,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001004,9,99,JAN,2020,1644,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001004,9,99,JAN,2021,1638,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001005,9,99,JAN,2019,707,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001006,9,99,JAN,2019,6406,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001006,9,99,JAN,2020,6426,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001006,9,99,JAN,2021,6355,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001007,9,99,JAN,2019,246,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001007,9,99,JAN,2020,248,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001007,9,99,JAN,2021,235,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001008,9,99,JAN,2019,16991,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001008,9,99,JAN,2020,16945,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001008,9,99,JAN,2021,16484,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001009,9,99,JAN,2019,2004,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001009,9,99,JAN,2020,2041,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001009,9,99,JAN,2021,2013,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001010,9,99,JAN,2019,497,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001010,9,99,JAN,2020,492,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001010,9,99,JAN,2021,488,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001011,9,99,JAN,2019,862,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001011,9,99,JAN,2020,846,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001011,9,99,JAN,2021,838,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001012,9,99,JAN,2019,1075,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001012,9,99,JAN,2020,1081,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001012,9,99,JAN,2021,1080,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001013,9,99,JAN,2019,12578,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001013,9,99,JAN,2020,12611,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001013,9,99,JAN,2021,12351,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001014,9,99,JAN,2019,1253,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001014,9,99,JAN,2020,1244,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001014,9,99,JAN,2021,1235,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001015,9,99,JAN,2019,790,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001015,9,99,JAN,2020,797,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001015,9,99,JAN,2021,787,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001016,9,99,JAN,2019,3175,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001016,9,99,JAN,2020,3153,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001016,9,99,JAN,2021,3064,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001017,9,99,JAN,2019,543,,,,,,,,,
IT1:22_289(1.5),A,TOTAL,001017,9,99,JAN,2020,531,,,,,,,,,
